Index,main_speaker,title,details,posted,url,
52,Katie Paterson,The mind-bending art of deep time,"Short-sightedness may be the greatest threat to humanity, says conceptual artist Katie Paterson, whose work engages with deep time -- an idea that describes the history of the Earth over a time span of millions of years. In this lively talk, she takes us through her art -- a telephone line connected to a melting glacier, maps of dying stars – and presents her latest project: the Future Library, a forested room holding unread manuscripts from famous authors, not to be published or read until the year 2114.",Posted January 2022,https://www.ted.com/talks/katie_paterson_the_mind_bending_art_of_deep_time?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
53,Emily Zobel Marshall,"The myth of Anansi, the trickster spider","Long ago, all stories belonged to Nyame, the all-seeing Sky God. But one creature, Anansi, was determined to bring the stories down to Earth. Anansi went to Nyame and requested to take ownership of the world's stories. The Sky God told Anansi that he could have all the stories he wished — but only if he could complete an impossible task. Emily Zobel Marshall shares the cunning spider's journey. [Directed by Keegan Thornhill, narrated by Christina Greer, music by Salil Bhayani, cAMP Studio].",Posted January 2022,https://www.ted.com/talks/emily_zobel_marshall_the_myth_of_anansi_the_trickster_spider?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
54,Deval Patrick,A different understanding of American patriotism,"American democracy cannot be great until it is good, says lawyer, Harvard professor and former governor of Massachusetts Deval Patrick. A self-identified patriot, Patrick stands behind the fundamental values and civic ideals that he believes make the US unique -- and outlines how the country has strayed from those same edicts. Calling for a collective patriotism free from cynicism and fatalism, Patrick underlines the urgency to reset national aspirations in order to save democracy.",Posted January 2022,https://www.ted.com/talks/deval_patrick_a_different_understanding_of_american_patriotism?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
55,Frank Cogliano,History vs. Thomas Jefferson,"Thomas Jefferson, founding father of the United States and primary author of the Declaration of Independence, was part of America's fight for freedom and equality. But in his personal life, he held over 600 people in slavery. Are his enlightened principles outweighed by his participation in a greater injustice? Frank Cogliano puts this controversial figure on trial in History vs. Thomas Jefferson.",Posted Jan 2023,https://www.ted.com/talks/frank_cogliano_history_vs_thomas_jefferson?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
56,Ben Gran,Why nurses are key to medical innovation,"Nurses represent the front line of health care -- from first breaths to last moments, and everything in between. But there's a vital place nurses are missing in action, says Ben Gran. He makes a compelling case for integrating their invaluable insights and experience into health tech innovation to help make care (and the process of providing it) better for generations to come.",Posted Jan 2023,https://www.ted.com/talks/ben_gran_why_nurses_are_key_to_medical_innovation?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
57,Manu Peni,The sustainable brilliance of Indigenous design,"When human rights advocate Manu Peni returned to Papua New Guinea from abroad, he built a home for himself using modern techniques -- and promptly learned a harsh lesson on how the newest ideas aren't always the best ideas. Peni calls for us all to rethink who we consider experts, particularly when it comes to building in the face of climate change, showing how Indigenous wisdom must work in harmony with new science and technology if we want to create a sustainable future.",Posted Jan 2023,https://www.ted.com/talks/manu_peni_the_sustainable_brilliance_of_indigenous_design?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
58,Mollie Godfrey,One of the most banned books of all time,"In 1998, a school district removed one of American literature's most acclaimed works from its curriculum. Parents pushing for the ban said the book was both ""sexually explicit"" and ""anti-white."" The book at the center of this debate was Maya Angelou's ""I Know Why The Caged Bird Sings."" Why was the memoir so controversial? Mollie Godfrey digs into one of the most banned books of all time.culture education art race United States women literature writing booksTED-Ed animation sexual violence",Posted Feb 2023,https://www.ted.com/talks/mollie_godfrey_one_of_the_most_banned_books_of_all_time?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
59,Jade Begay,"Climate action should focus on communities, not just carbon","Jade Begay works with the people affected first and worst by the climate crisis: Indigenous communities from the Arctic to the Amazon. In a call to align climate action with the needs of those on the frontlines, she offers two starting points to understand how climate change impacts these communities and how their expertise could guide sustainable solutions built on trust.climate change environment sustainability socialchange policy indigenous peoples Countdown",Posted Feb 2023,https://www.ted.com/talks/jade_begay_climate_action_should_focus_on_communities_not_just_carbon?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
60,Ashley Clift-Jennings,Have you met your soulmate?,"CEO Ashley Clift-Jennings was dead set on finding her person in her mid-20s, and after a calculated search and whirlwind courtship, knew she could check off the 'soulmate' box. But when her husband came out as transgender, the fear of what others would think compelled her to reexamine the essence of that fabled true love. In this compassionate talk, Clift-Jennings challenges us to look beneath the patina of our partner—their job, their looks, their interests—and consider the fabric of their soul that makes it a home for ours.love relationships Transgender vulnerability Life",Posted Feb 2023,https://www.ted.com/talks/ashley_clift_jennings_have_you_met_your_soulmate?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
61,Wendy Suzuki,"How to calm your anxiety, from a neuroscientist",What if you could transform your anxiety into something you can actually use during your work day? Neuroscientist Wendy Suzuki shares two evidence-based activities -- breathing and movement -- that can soothe your nervous system and fuel creativity and connection.science health work personal growth mental health neuroscience work-life balance human body emotions,Posted Mar 2023,https://www.ted.com/talks/wendy_suzuki_how_to_calm_your_anxiety_from_a_neuroscientist?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
62,Jerome Hunter,3 skills every middle school boy needs,"Middle school is a time like no other, as significant biological and emotional changes coincide with profound personal growth, says educator Jerome Hunter. The middle school for boys that he founded centers on a program that helps redefine masculinity through what he calls the three ""Cs"" -- confidence, communication and community. He shares the growth he's seen when boys are encouraged to explore their own empathy -- and how it could lead to a more just world.education social change communication community personal growth TED-Ed teaching",Posted Mar 2023,https://www.ted.com/talks/jerome_hunter_3_skills_every_middle_school_boy_needs?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
63,Catherine Price,3 elements of true fun — and how to have more of it,"What comes to mind when you think about the most fun moments of your life? Science journalist Catherine Price asked thousands of people across the world this question, and their answers led her to a new definition of ""true"" fun: a special confluence of playfulness, connection and flow. Hear her thoughts on why having fun is good for your mental and physical health and how to identify the tell-tale signs of ""fake"" fun -- as well as actionable tips for identifying what brings you joy. sciencehealth psychology relationships motivation personal growth emotions TED Membership",Posted Mar 2023,https://www.ted.com/talks/catherine_price_3_elements_of_true_fun_and_how_to_have_more_of_it?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
64,Margaret Hall,How modern audiences can talk about aging art,"Some works of art stand the test of time; others don't age as well. Using American musical theater as her case study, theater historian Margaret Hall shares a framework of five categories to talk about how art does (and doesn't) remain useful across generations -- encouraging us to address the ""growing pains"" that all art faces as time and culture moves on.culture media music social change arthistory theater society TEDx",Posted Apr 2023,https://www.ted.com/talks/margaret_hall_how_modern_audiences_can_talk_about_aging_art?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,
